,년도,팀명,선수명,선수id,WAR,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA
383,2016,NC,김성욱,/player/detail/838,0.80,130,348,306,81,15,60,51,30,64,5,0.288,0.265,0.334,0.467,0.801,0.347
384,2016,LG,문선재,/player/detail/316,0.79,52,127,111,32,7,28,16,10,29,5,0.329,0.288,0.344,0.541,0.885,0.374
385,2016,SK,나주환,/player/detail/557,0.75,24,65,57,22,5,13,12,2,6,0,0.370,0.386,0.435,0.684,1.119,0.471
386,2016,NC,모창민,/player/detail/827,0.75,63,147,133,44,5,16,20,9,24,3,0.364,0.331,0.370,0.504,0.874,0.375
387,2016,롯데,김준태,/player/detail/765,0.75,68,144,120,33,2,12,16,22,42,0,0.403,0.275,0.385,0.367,0.752,0.348
388,2016,삼성,이지영,/player/detail/454,0.74,129,419,390,116,7,36,50,12,32,3,0.309,0.297,0.328,0.382,0.710,0.317
389,2016,넥센,박동원,/player/detail/214,0.70,127,454,411,102,14,44,70,27,93,3,0.287,0.248,0.304,0.416,0.720,0.313
390,2016,kt,전민수,/player/detail/239,0.64,74,240,213,65,3,31,29,19,46,5,0.378,0.305,0.373,0.423,0.796,0.358
391,2016,한화,신성현,/player/detail/1344,0.64,89,184,158,44,8,30,24,15,54,0,0.375,0.278,0.360,0.481,0.841,0.367
392,2016,SK,김재현,/player/detail/574,0.63,100,193,168,54,1,27,18,11,41,13,0.417,0.321,0.378,0.429,0.807,0.365
393,2016,KIA,신종길,/player/detail/134,0.60,75,240,213,66,1,34,12,20,49,7,0.399,0.310,0.385,0.390,0.775,0.358
394,2016,kt,이대형,/player/detail/325,0.59,143,654,600,192,1,89,42,44,90,37,0.375,0.320,0.368,0.358,0.726,0.336
395,2016,삼성,이흥련,/player/detail/483,0.56,85,174,150,39,6,20,25,8,41,0,0.314,0.260,0.315,0.453,0.768,0.330
396,2016,SK,김민식,/player/detail/614,0.56,88,170,144,37,2,17,14,21,38,1,0.337,0.257,0.359,0.361,0.720,0.334
397,2016,한화,최진행*,/player/detail/44,0.53,28,85,70,23,1,4,9,11,16,0,0.415,0.329,0.434,0.400,0.834,0.390
398,2016,SK,김동엽,/player/detail/1407,0.52,57,150,143,48,6,19,23,5,41,2,0.433,0.336,0.360,0.517,0.877,0.376
399,2016,LG,이천웅,/player/detail/331,0.52,103,320,276,81,6,38,41,34,49,6,0.338,0.293,0.376,0.402,0.778,0.354
